"","count","n","col4","col3","col2","col1","output"
"1360",41,5,"to","figure","out","what","to"
"1361",41,5,"to","take","care","of","the"
"1362",41,5,"to","the","national","weather","service"
"1363",41,5,"two","and","a","half","years"
"1364",41,5,"we","want","to","make","sure"
"1365",41,5,"weâ","re","going","to","have"
"1366",41,5,"what","do","you","call","a"
"1367",41,5,"what","to","do","with","it"
"1368",41,5,"with","the","help","of","a"
"1369",41,5,"would","be","a","good","idea"
"1370",41,5,"yellow","class","goog","spellcheck","word"
"1371",40,5,"a","breath","of","fresh","air"
"1372",40,5,"a","home","in","the","block"
"1373",40,5,"a","huge","thank","you","to"
"1374",40,5,"according","to","a","news","release"
"1375",40,5,"and","let","me","know","what"
"1376",40,5,"at","the","base","of","the"
"1377",40,5,"at","the","end","of","it"
"1378",40,5,"at","the","expense","of","the"
"1379",40,5,"at","the","university","of","missouri"
"1380",40,5,"been","a","long","time","coming"
"1381",40,5,"between","the","ages","of","and"
"1382",40,5,"but","i'm","not","going","to"
"1383",40,5,"can't","wait","to","see","my"
"1384",40,5,"didn't","get","a","chance","to"
"1385",40,5,"doesnâ","t","have","to","be"
"1386",40,5,"family","law","tip","of","the"
"1387",40,5,"follow","me","i","follow","back"
"1388",40,5,"has","pleaded","not","guilty","to"
"1389",40,5,"has","to","do","with","the"
"1390",40,5,"havenâ","t","been","able","to"
"1391",40,5,"help","us","spread","the","word"
"1392",40,5,"i","had","a","hard","time"
"1393",40,5,"i","had","to","do","was"
"1394",40,5,"i","have","so","much","to"
"1395",40,5,"i","miss","you","so","much"
"1396",40,5,"i","thought","it","might","be"
"1397",40,5,"i","would","have","to","say"
"1398",40,5,"i","would","like","to","be"
"1399",40,5,"in","front","of","the","tv"
"1400",40,5,"in","the","first","half","and"
"1401",40,5,"is","probably","one","of","the"
"1402",40,5,"it","was","great","to","meet"
"1403",40,5,"iâ","m","not","sure","what"
"1404",40,5,"law","tip","of","the","day"
"1405",40,5,"move","on","to","the","next"
"1406",40,5,"need","to","learn","how","to"
"1407",40,5,"of","millions","of","dollars","in"
"1408",40,5,"on","and","on","and","on"
"1409",40,5,"on","the","front","of","the"
"1410",40,5,"over","the","past","couple","of"
"1411",40,5,"respond","to","a","request","for"
"1412",40,5,"senate","majority","leader","harry","reid"
"1413",40,5,"senate","president","stephen","sweeney","d"
"1414",40,5,"sentenced","to","years","in","prison"
"1415",40,5,"something","to","do","with","the"
"1416",40,5,"texas","family","law","tip","of"
"1417",40,5,"thank","you","thank","you","thank"
"1418",40,5,"that","turned","out","to","be"
"1419",40,5,"the","first","time","i","have"
"1420",40,5,"the","first","time","in","my"
"1421",40,5,"the","vast","majority","of","the"
"1422",40,5,"the","wrong","side","of","the"
"1423",40,5,"this","is","the","kind","of"
"1424",40,5,"to","fall","in","love","with"
"1425",40,5,"to","get","my","hands","on"
"1426",40,5,"what","it's","like","to","be"
"1427",40,5,"will","be","the","death","of"
"1428",40,5,"with","a","time","of","with"
"1429",40,5,"you","had","a","great","weekend"
"1430",40,5,"you","thank","you","thank","you"
"1431",39,5,"a","year","old","man","was"
"1432",39,5,"and","i","donâ","t","want"
"1433",39,5,"and","prayers","go","out","to"
"1434",39,5,"as","much@i","did",NA,NA
"1435",39,5,"as","one","of","the","top"
"1436",39,5,"back","to","the","drawing","board"
"1437",39,5,"be","a","bit","of","a"
"1438",39,5,"because","i","don't","want","to"
"1439",39,5,"been","a","while","since","i've"
"1440",39,5,"could","go","on","and","on"
"1441",39,5,"do","whatever","it","takes","to"
"1442",39,5,"first","time","in","my","life"
"1443",39,5,"get","a","kick","out","of"
"1444",39,5,"going","to","be","a","big"
"1445",39,5,"going","to","be","a","lot"
"1446",39,5,"gonna","be","a","good","day"
"1447",39,5,"happy","mothers","day","to","my"
"1448",39,5,"hey","thanks","for","the","follow"
"1449",39,5,"hope","you","had","a","wonderful"
"1450",39,5,"how","important","it","is","to"
"1451",39,5,"i'm","not","going","to","be"
"1452",39,5,"i'm","so","proud","of","you"
"1453",39,5,"i","did","not","want","to"
"1454",39,5,"i","had","no","idea","how"
"1455",39,5,"i","have","a","couple","of"
"1456",39,5,"i","hope","everyone","had","a"
"1457",39,5,"i","look","forward","to","your"
"1458",39,5,"i","never","thought","i","would"
"1459",39,5,"i","think","it's","time","to"
"1460",39,5,"i","thought","i","was","the"
"1461",39,5,"i","want","for","christmas","is"
"1462",39,5,"i","want","to","go","back"
"1463",39,5,"i","would","have","liked","to"
"1464",39,5,"in","the","fourth","quarter","of"
"1465",39,5,"is","a","good","time","to"
"1466",39,5,"it","just","me","or","is"
"1467",39,5,"just","met","you","and","this"
"1468",39,5,"just","the","right","amount","of"
"1469",39,5,"look","forward","to","working","with"
"1470",39,5,"looking","forward","to","meeting","you"
"1471",39,5,"me","me","me","me","me"
"1472",39,5,"not","going","to","be","able"
"1473",39,5,"on","dancing","with","the","stars"
"1474",39,5,"one","of","those","days","where"
"1475",39,5,"pronounced","dead","at","the","scene"
"1476",39,5,"sexy","and","i","know","it"
"1477",39,5,"so","what","do","you","think"
"1478",39,5,"than","i","thought","it","would"
"1479",39,5,"thank","you","for","the","retweet"
"1480",39,5,"thanks","for","the","ff","mention"
"1481",39,5,"thanks","so","much","for","coming"
"1482",39,5,"thanks","so","much","for","following"
"1483",39,5,"the","last","couple","of","days"
"1484",39,5,"the","national","transportation","safety","board"
"1485",39,5,"then","all","of","a","sudden"
"1486",39,5,"time","to","get","ready","for"
"1487",39,5,"to","all","the","moms","out"
"1488",39,5,"to","make","it","easier","for"
"1489",39,5,"to","make","up","for","the"
"1490",39,5,"to","take","a","picture","of"
"1491",39,5,"wait","to","see","you","in"
"1492",39,5,"was","going","to","have","to"
"1493",39,5,"we","donâ","t","have","to"
"1494",39,5,"what","i","was","going","to"
"1495",39,5,"when","i","was","a","child"
"1496",39,5,"will","have","the","opportunity","to"
"1497",39,5,"wouldnâ","t","be","able","to"
"1498",38,5,"a","lot","of","money","to"
"1499",38,5,"a","lot","of","things","that"
"1500",38,5,"a","person","familiar","with","the"
"1501",38,5,"all","i","want","for","christmas"
"1502",38,5,"and","i","am","going","to"
"1503",38,5,"and","let","me","tell","you"
"1504",38,5,"are","a","lot","of","people"
"1505",38,5,"are","going","to","have","a"
"1506",38,5,"be","a","good","time","to"
"1507",38,5,"but","i","am","going","to"
"1508",38,5,"but","on","the","other","hand"
"1509",38,5,"calories","g","fat","g","saturated"
"1510",38,5,"can't","wait","for","you","to"
"1511",38,5,"center","for","the","performing","arts"
"1512",38,5,"feel","like","i","need","to"
"1513",38,5,"figure","out","what","to","do"
"1514",38,5,"follow","me","and","i","will"
"1515",38,5,"for","a","variety","of","reasons"
"1516",38,5,"from","all","of","us","at"
"1517",38,5,"good","luck","to","all","the"
"1518",38,5,"have","to","admit","that","i"
"1519",38,5,"he","is","one","of","the"
"1520",38,5,"hope","you","are","doing","well"
"1521",38,5,"hope","you","have","an","amazing"
"1522",38,5,"i","don't","think","i","could"
"1523",38,5,"i","feel","the","need","to"
"1524",38,5,"i","spent","a","lot","of"
"1525",38,5,"i","thought","i","would","share"
"1526",38,5,"i","want","to","know","what"
"1527",38,5,"i","was","going","to","get"
"1528",38,5,"i","was","just","trying","to"
"1529",38,5,"i","was","on","my","way"
"1530",38,5,"if","you","donâ","t","know"
"1531",38,5,"in","one","of","the","most"
"1532",38,5,"in","the","corner","of","the"
"1533",38,5,"in","the","hands","of","a"
"1534",38,5,"in","the","next","few","months"
"1535",38,5,"in","the","past","five","years"
"1536",38,5,"in","the","run","up","to"
"1537",38,5,"is","one","of","my","favorites"
"1538",38,5,"it","was","nice","to","see"
"1539",38,5,"it","would","be","interesting","to"
"1540",38,5,"it","would","be","like","to"
"1541",38,5,"look","at","some","of","the"
"1542",38,5,"met","you","and","this","is"
"1543",38,5,"need","to","get","out","of"
"1544",38,5,"on","the","other","end","of"
"1545",38,5,"on","the","other","hand","if"
"1546",38,5,"one","of","my","favorite","movies"
"1547",38,5,"president","stephen","sweeney","d","gloucester"
"1548",38,5,"said","â","œi","donâ","t"
"1549",38,5,"so","i","decided","to","make"
"1550",38,5,"so","if","you","want","to"
"1551",38,5,"something","to","look","forward","to"
"1552",38,5,"still","have","a","lot","of"
"1553",38,5,"tell","me","what","to","do"
"1554",38,5,"the","best","thing","to","do"
"1555",38,5,"the","bottom","of","the","pan"
"1556",38,5,"the","fact","that","i","am"
"1557",38,5,"the","fact","that","i","have"
"1558",38,5,"the","first","part","of","the"
"1559",38,5,"the","most","important","thing","is"
"1560",38,5,"the","run","up","to","the"
"1561",38,5,"to","come","out","of","the"
"1562",38,5,"to","come","up","with","the"
"1563",38,5,"to","do","with","the","fact"
"1564",38,5,"to","go","back","to","sleep"
"1565",38,5,"to","have","a","good","time"
"1566",38,5,"to","spend","a","lot","of"
"1567",38,5,"today","is","the","first","day"
"1568",38,5,"was","in","the","middle","of"
"1569",38,5,"we","have","a","new","server"
"1570",38,5,"what","are","you","doing","for"
"1571",38,5,"what","i","came","up","with"
"1572",38,5,"what","needs","to","be","done"
"1573",38,5,"which","is","one","of","the"
"1574",38,5,"with","seconds","left","in","the"
