"","count","n","col3","col2","col1","output"
"504",220,4,"just","got","back","from"
"505",220,4,"to","the","end","of"
"506",219,4,"but","i","have","to"
"507",219,4,"the","history","of","the"
"508",219,4,"to","be","the","best"
"509",218,4,"i","am","trying","to"
"510",218,4,"i","have","a","feeling"
"511",218,4,"i","miss","you","too"
"512",218,4,"in","the","morning","and"
"513",218,4,"it","has","to","be"
"514",218,4,"to","deal","with","the"
"515",218,4,"to","go","to","a"
"516",218,4,"with","the","exception","of"
"517",218,4,"you","can","do","it"
"518",217,4,"of","some","of","the"
"519",216,4,"has","a","lot","of"
"520",216,4,"i","was","a","kid"
"521",216,4,"in","the","near","future"
"522",216,4,"itâ","s","going","to"
"523",216,4,"on","a","regular","basis"
"524",215,4,"as","much@possible",NA,NA
"525",215,4,"for","more","than","years"
"526",215,4,"i","am","not","sure"
"527",215,4,"i","need","to","be"
"528",215,4,"if","there","is","a"
"529",215,4,"is","the","first","time"
"530",215,4,"looking","forward","to","a"
"531",215,4,"over","the","past","few"
"532",215,4,"the","course","of","the"
"533",215,4,"the","vast","majority","of"
"534",215,4,"to","check","it","out"
"535",215,4,"to","check","out","the"
"536",215,4,"what","was","going","on"
"537",214,4,"and","i","have","been"
"538",214,4,"hundreds","of","thousands","of"
"539",214,4,"i","wanted","to","do"
"540",214,4,"won't","be","able","to"
"541",213,4,"â","she","said","â"
"542",212,4,"can't","wait","to","hear"
"543",212,4,"itâ","s","hard","to"
"544",212,4,"open","to","the","public"
"545",212,4,"the","next","few","days"
"546",211,4,"but","i","don't","think"
"547",211,4,"do","not","want","to"
"548",211,4,"i","have","a","lot"
"549",211,4,"i","have","to","do"
"550",211,4,"something","to","do","with"
"551",210,4,"don't","know","what","to"
"552",210,4,"s","o","to","my"
"553",210,4,"we","were","able","to"
"554",209,4,"in","the","bottom","of"
"555",209,4,"to","hear","from","you"
"556",209,4,"would","have","been","a"
"557",209,4,"would","have","to","be"
"558",208,4,"in","the","same","way"
"559",208,4,"not","the","only","one"
"560",208,4,"to","all","of","you"
"561",208,4,"we","had","a","great"
"562",208,4,"you","want","to","see"
"563",208,4,"youâ","re","going","to"
"564",207,4,"the","first","half","of"
"565",207,4,"to","the","top","of"
"566",206,4,"please","let","me","know"
"567",206,4,"will","be","at","the"
"568",205,4,"end","of","the","month"
"569",205,4,"going","to","be","in"
"570",205,4,"it","is","going","to"
"571",204,4,"a","friend","of","mine"
"572",204,4,"with","the","rest","of"
"573",203,4,"a","copy","of","the"
"574",203,4,"don't","get","me","wrong"
"575",203,4,"donâ","t","know","how"
"576",203,4,"fall","in","love","with"
"577",203,4,"how","much","i","love"
"578",203,4,"that","there","is","no"
"579",203,4,"the","last","day","of"
"580",202,4,"a","few","months","ago"
"581",202,4,"got","a","lot","of"
"582",202,4,"was","one","of","those"
"583",201,4,"i","feel","like","a"
"584",201,4,"i","have","to","be"
"585",201,4,"middle","of","the","night"
"586",201,4,"rest","of","the","world"
"587",201,4,"the","power","of","the"
"588",200,4,"about","percent","of","the"
"589",200,4,"have","the","right","to"
"590",200,4,"i","am","so","excited"
"591",200,4,"in","love","with","the"
"592",200,4,"might","be","able","to"
"593",200,4,"so","that","i","can"
"594",200,4,"this","is","why","i"
"595",199,4,"a","wide","range","of"
"596",199,4,"going","to","try","to"
"597",199,4,"if","you're","going","to"
"598",199,4,"let","me","tell","you"
"599",199,4,"wait","to","see","what"
"600",198,4,"a","good","way","to"
"601",198,4,"awkward","moment","when","you"
"602",198,4,"it","is","hard","to"
"603",198,4,"looking","forward","to","your"
"604",198,4,"seems","to","be","a"
"605",198,4,"that","it","was","a"
"606",198,4,"the","head","of","the"
"607",198,4,"the","size","of","a"
"608",197,4,"a","result","of","the"
"609",197,4,"despite","the","fact","that"
"610",197,4,"i","hate","it","when"
"611",197,4,"in","a","lot","of"
"612",197,4,"in","the","last","few"
"613",197,4,"that","it","would","be"
"614",197,4,"the","last","few","years"
"615",197,4,"the","only","thing","i"
"616",197,4,"to","do","with","it"
"617",196,4,"amazon","services","llc","and"
"618",196,4,"and","it","was","a"
"619",196,4,"at","the","very","least"
"620",196,4,"donâ","t","know","if"
"621",196,4,"one","of","the","many"
"622",196,4,"take","the","time","to"
"623",196,4,"the","rest","of","your"
"624",195,4,"and","i","will","be"
"625",195,4,"is","a","good","thing"
"626",195,4,"out","of","the","house"
"627",195,4,"really","looking","forward","to"
"628",195,4,"to","say","the","least"
"629",194,4,"but","it","was","a"
"630",194,4,"have","no","idea","how"
"631",194,4,"i","didnâ","t","have"
"632",194,4,"the","state","department","of"
"633",193,4,"it","is","important","to"
"634",193,4,"more","than","million","in"
"635",193,4,"on","both","sides","of"
"636",193,4,"this","is","not","the"
"637",192,4,"i","have","to","get"
"638",192,4,"in","the","world","of"
"639",192,4,"rest","of","the","day"
"640",191,4,"all","you","have","to"
"641",191,4,"i","need","to","do"
"642",191,4,"there","is","so","much"
"643",191,4,"there","will","be","no"
